term, count in resource metadata
employment forecasting,39
child mental health,39
language and culture,39
murray-darling basin,38
government services,38
cultural property,38
housing subsidies,38
public schools--government policy,38
sex discrimination against women,38
communication policy,38
homeless youth,38
employees--mental health,38
food security,38
armed forces--procurement,38
pasifika,37
social city,37
community organization,37
social justice,37
social service,37
older people--housing,37
humanitarian assistance,37
police-community relations,37
grey literature,37
rivers,37
energy security,37
networked home,36
economic growth,36
health,36
science--study and teaching,36
sex crimes,36
non-governmental organizations,36
unemployed youth,36
dental care,36
organised crime,36
theft,36
floods,36
fiscal policy,36
infants,36
children--institutional care,36
paris agreement,35
royal commission into misconduct in the banking_superannuation and financial services industry,35
wind power,35
tobacco,35
gun control,35
children's rights,35
political science,35
mines and mineral resources,35
information resources,35
financial literacy,35
same-sex marriage,35
artificial intelligence,35
united nations,35
social impact,34
global warming,34
sentencing,34
royal commission into institutional responses to child sexual abuse,34
employee rights,34
community-based family services,34
mobile communication systems,34
skilled labour,34
people with disabilities--housing,34
seasonal labour,34
cost effectiveness,34
public spaces,34
buildings--retrofitting,34
accountability,33
education reform,33
carbon emissions,33
liberal party policy,33
mortgages,33
australian labor party,33
victims of crimes,33
railroads,33
law enforcement,33
physical fitness,33
rural health services,33
statistics--data processing,33
social inclusion,32
problem gambling,32
education policy,32
private rental market,32
energy efficiency,32
cprf 2008,32
private schools--government policy,32
occupational training,32
health services administration,32
freedom of the press,32
public safety,32
population forecasting,32
childbirth,32
constitutional amendments,32
universities and colleges--finance,32
fossil fuels,32
prison administration,32
environmental refugees,31
nem,31
indigenous incarceration,31
access to justice,31
cprf 2011,31
death,31
educational innovations,31
real estate business,31
mathematics--study and teaching,31
child health services,31
indigenous children,31
educational planning,31
cultural diplomacy,31
military administration,31
youth--services for,31
piracy (copyright),31
information technology--security measures,31
building materials,31
test-fix,30
occupational health and safety,30
g20,30
public sector management,30
ckc-residential,30
electricity distribution networks,30
girls,30
learning strategies,30
financial risk management,30
diversity in the workplace,30
teenagers,30
minorities,30
older people--services for,30
food consumption,30
cultural and creative sector,29
digital literacy,29
child neglect,29
road safety,29
hc-rt10,29
ckc-new,29
cprf 2007,29
palliative treatment,29
sexually transmitted diseases,29
nonprofit organizations,29
sexual health,29
political ethics,29
travel,29
administrative procedure,29
droughts,29
media regulation,29
lobbying,29
research--economic aspects,29
ecosystem management,29
sustainable buildings--design and construction--standards,29
building--technological innovations,29
reform,28
alternative dispute resolution,28
social impact bonds,28
cprf 2009,28
academic libraries,28
pharmaceutical industry,28
entrepreneurship,28
unemployment--government policy,28
irrigation,28
blogs,28
liberal party of australia,28
civil rights,28
digital television,28
natural gas,28
safety regulations,28
educational publishing,28
gender gap,27
ageing population,27
offshore detention,27
content,27
population geography,27
biology--research,27
information technology--economic aspects,27
computer literacy,27
industrial safety,27
colonisation,27
money,27
euthanasia,27
suburban life,27
inequality,26
asylum seeker policy,26
regulation,26
cybersecurity,26
great barrier reef,26
climate change adaptation,26
cprf 2010,26
information policy,26
medical screening,26
divorce,26
local government--citizen participation,26
women--employment,26
decision making,26
age and employment,26
students_foreign,26
emigration and immigration law,26
sexual harassment,26
imprisonment,26
freight and freightage,26
problem youth,26
civil society,26
public schools,26
computer software,26
developing countries,26
weather,26
youth--institutional care,26
management,26
medicare,25
early childhood development,25
burden of disease,25
creative economy,25
fly-in fly-out workers,25
academic research,25
the greens policy,25
federal budget 2016-17,25
adult education,25
universities and colleges--government policy,25
refuse and refuse disposal,25
sexual abuse victims,25
rural health,25
cyberbullying,25
children--law and legislation,25
skilled migration,25
internet--safety measures,25
research--methodology,25
international relief,25
privatization,25
electronic games,25
electronic surveillance,25
knowledge management,25
mass media and technology,25
cyberspace,25
finance_public,25
medical innovations,25
security_international,25
coag,24
sleeping rough,24
school funding,24
australian broadcasting corporation (abc),24
major projects,24
anzrsai conference,24
muslims--public opinion,24
radio broadcasting,24
drug abuse and crime,24
drug traffic,24
farmers,24
wages--women,24
rehabilitation,24
older people--care,24
race discrimination,24
google,24
disclosure of information,24
foreign trade regulation,24
immunisation,24
free trade agreement,23
indigenous affairs,23
elder abuse,23
gender equality,23
precinct indicators,23
gonski review,23
digital news project,23
news consumption,23
rp2005,23
statutory authorities,23
philanthropists,23
child support,23
housing--location,23
disability awareness,23
nuclear weapons,23
petroleum industry and trade,23
police power,23
social security,23
recycling (waste_etc),23
equity,23
global financial crisis (2008-2009),23
wildlife conservation,23
disruptive technologies,23
insurance,23
urban heat island,23
research data management,22
cultural diversity,22
hc-rt9,22
alcohol harms,22
workplace relations,22
early education,22
donald trump,22
extreme weather events,22
gender identity,22
casual labour,22
conflict of laws,22
occupations,22
republicanism,22
sex discrimination,22
information technology projects,22
ideology,22
women's rights,22
discrimination in employment,22
dairy farming,22
creative ability,22
internet--security measures,22
discrimination against people with disabilities,22
muslims--ethnic identity,22
low socioeconomic status,22
indigenous child protection,21
armed violence,21
innovation policy,21
cyber safety,21
green infrastructure,21
student equity,21
ckc-commercial,21
national energy guarantee (neg),21
commuting,21
airports,21
mothers,21
graduate students,21
imports,21
welfare state,21
private schools,21
islamophobia,21
shipping,21
telecommunication--law and legislation,21
internet fraud,21
world politics,21
traffic safety,21
social impact investing,21
motor vehicles,21
university-industry collaboration,20
professional learning,20
small and medium enterprises (smes),20
public value,20
gun control,20
immigration policy,20
higher education,20
fracking,20
tertiary education,20
data collection,20
liveability,20
anti-corruption commissions,20
anti-corruption measures,20
regional and remote students,20
government productivity,20
historic preservation,20
politics and culture,20
exercise,20
internet--social aspects,20
maritime law,20
border security,20
social workers,20
forensic sciences,20
leadership in women,20
data,19
vet,19
economic policy,19
tafe,19
arts policy,19
election campaigns,19
metadata,19
financial regulation,19
trans-pacific partnership (tpp),19
data retention policy debate in australia,19
royal commission into family violence,19
brexit,19
electricity generation,19
building energy codes,19
deregulation,19
asthma,19
community radio,19
life expectancy,19
civil service,19
criminals,19
nurses,19
contracts,19
earthquakes,19
educational change,19
arthritis,19
islam and culture,19
military operations,19
wealth inequality,18
cultural development,18
accountable government,18
economics,18
neighbourhood effects,18
stem,18
cross-media ownership,18
naplan,18
mandatory reporting,18
cyber security policy,18
federal budget 2014,18
renewable energy,18
grains,18
educational achievement,18
mentoring,18
women--health,18
social integration,18
legal aid,18
youth and violence,18
legislative bodies,18
political activists,18
transparency,18
foreign trade and employment,18
art museums,18
cloud computing,18
media literacy,18
domestic terrorism,18
methamphetamine abuse,18
computer hackers,18
smartphones,18
communism,18
youth_aboriginal australian,18
electronic records,18
labour market,17
welfare,17
workplace health and safety,17
energy consumption,17
aged care services,17
immigration detention,17
welfare reform,17
indigenous art centres,17
education assessment,17
think tanks,17
jobs in the future,17
cultural collections,17
creative employment,17
european union,17
social enterprise,17
digital economy,17
sva quarterly,17
negative gearing,17
child maltreatment,17
transport infrastructure,17
rp3008,17
petroleum products--prices,17
election districts,17
vaccination,17
computer crimes,17
industrial efficiency,17
nuclear arms control,17
religion and civil society,17
judges,17
ethnic conflict,17
business networks,17
tax evasion,17
rental housing--law and legislation,17
geography,17
radio,17
islamic fundamentalism,17
consumer credit,17
reading,17
career development,17
political development,17
international education,17
cyberterrorism,17
private rental literature review,16
community services,16
urban water,16
taxation,16
rogs,16
aboriginal affairs,16
disability services,16
australian public service,16
public policy,16
australia-china relations,16
rental affordability,16
philanthropic sector,16
anzus,16
collaboration,16
ehealth,16
motor vehicle accidents,16
assisted dying,16
data management,16
public service,16
sharing economy,16
smart cities,16
changing city structures,16
professional development,16
higher education research,16
housing markets,16
energy productivity,16
print,16
war on terrorism (2001-),16
supply and demand,16
industries--self-regulation,16
macroeconomics,16
deliberative democracy,16
referendum,16
social entrepreneurship,16
computers,16
technology--social aspects,16
motion picture industry,16
technology and state,16
disaster relief,16
obesity in children,16
traffic accidents,16
protest movements,16
strategy--planning,16
medical technology,16
freedom of religion,16
military operations_naval,16
people with disabilities--institutional care,16
ethnic groups,16
sustainable living,16
government,15
native title,15
indigenous,15
australian government,15
citizen science,15
refugee resettlement,15
marriage equality,15
gender equity,15
social cohesion,15
business regulation,15
service delivery,15
education funding,15
asean,15
digital technology,15
islamic state,15
foreign policy,15
city infrastructure,15
city economy,15
peer-to-peer economy,15
nationals policy,15
trees,15
remote communities,15
intergenerational relations,15
school-to-work transition,15
sex,15
pay equity,15
workers' compensation,15
human beings--migrations,15
export marketing,15
preventive health services,15
performance--management,15
resilience (personality trait),15
public private partnerships,15
temporary employment,15
terrorism and mass media,15
indigenous women,15
underemployment,15
islam and politics,15
student loans,15
arts fund raising,15
robotics,15
endangered species,15
animal populations,15
capital gains tax,15
veterans,15
people with disabilities--legal status_laws_etc.,15
air conditioning,15
private health insurance,14
eresearch,14
public sector information,14
oecd,14
carbon pricing,14
labour force,14
tenants,14
job seekers,14
company tax,14
assistive technology,14
data retention,14
supply chain,14
labour mobility,14
open government partnership (ogp),14
goods and services tax,14
building codes,14
industry regulation,14
sustainable development goals,14
low carbon living,14
rp2007,14
hiv (viruses),14
foster parents,14
barrier-free design,14
fertility,14
compensation (law),14
cultural pluralism,14
gay community,14
revenue,14
health education,14
muslim women,14
oil industries,14
bureaucracy,14
custody of children,14
dairy products industry,14
consumption (economics),14
religion and culture,14
internet television,14
civil war,14
pests,14
decentralization in government,14
science--citizen participation,14
air quality,14
student equity,14
christianity,14
philanthropy,13
law,13
crystal meth,13
global financial crisis,13
health services,13
accessibility,13
poker machines,13
arts funding,13
mining boom,13
research,13
community engagement,13
electric cars,13
countering violent extremism (cve),13
veteran community,13
automation,13
isis,13
plant diseases,13
strategic planning,13
city structures,13
accounting,13
australian sex party policy,13
town planning,13
cprf,13
public sector performance measurement,13
climate policy,13
electric vehicles,13
distance education,13
school discipline,13
older people--family relationships,13
animal welfare,13
interest rates,13
older people--health and hygiene,13
financial security,13
australian broadcasting corporation,13
transgender people,13
institutional repositories,13
world wide web,13
job creation,13
convergence (telecommunication),13
forecasting,13
multicultural education,13
people with disabilities--civil rights,13
digital rights management,13
information science--research,13
children_torres strait islander,13
cooling,13
human comfort,13
palliative care,12
community participation,12
politics,12
emissions trading schemes,12
long-term unemployment,12
australian foreign policy,12
counter-terrorism,12
experiences of tenants,12
farming,12
health care,12
suburbs,12
funding,12
creative commons,12
transport,12
research and development,12
cost benefit analysis,12
digital access,12
public trust,12
volunteering,12
population growth,12
commonwealth rent assistance (cra),12
industry assistance,12
art galleries,12
digital media,12
digital divide,12
indigenous and community media,12
liberal party,12
power stations,12
criminal justice,12
coal seam gas,12
anztsr 2014 conference,12
evidence-based practice,12
penalty rates,12
internet of things,12
social inequality,12
local government administration,12
automated vehicles,12
thermal comfort,12
rp3016,12
real estate,12
behavioural insights,12
cycling,12
digital health technologies,12
public sector reforms,12
high school students,12
gender identity in the workplace,12
advance directives (medical care),12
public-private sector cooperation,12
ombudsman,12
restorative justice,12
airlines,12
human genetics,12
addicts,12
immigrant children,12
stolen generations (australia),12
kidneys--diseases,12
homophobia,12
violent crimes,12
tariff,12
religion and politics,12
senate,12
downloading of data,12
gender studies,12
school attendance,12
citizen journalism,12
rural schools,12
clothing trade,12
alcoholism,12
refugee children,12
job vacancies,12
grain,12
emergency medical services,12
plants,12
heating,12
pbs,11
gst,11
community,11
social outcomes,11
carbon policy,11
natural gas industry,11
copyright law,11
young people,11
caring for children,11
media regulation,11
cyber-crime,11
self determination,11
asbestos,11
mining industry,11
crowdsourcing,11
regional and remote,11
social investment,11
youth justice,11
apps,11
fair use,11
sports betting,11
uber,11
livestock,11
government grants,11
startups,11
community housing,11
building certification,11
open access,11
aquaculture,11
building design,11
energy,11
residential property,11
green building,11
audiences,11
rp2002,11
urban design,11
gunpolicy.org,11
public sector innovation,11
drinking water,11
boys,11
abortion,11
social surveys,11
mathematics,11
national health services,11
school choice,11
corporation law,11
whistle blowing,11
radioactive waste disposal,11
political crimes and offenses,11
world heritage areas,11
nursing,11
streaming video,11
alzheimer's disease,11
alcoholism and crime,11
job stress,11
islam and state,11
ventilation,11
homeless youth--services for,11
storytelling,11
government subsidies,10
government expenditure,10
energy economics,10
primary schools,10
home modification,10
swinburne technology monitor,10
marijuana,10
income management,10
high court,10
parliamentary privilege,10
hilda survey,10
parliamentary practice,10
overseas aid,10
drugs policy,10
opioids,10
aged care,10
family law,10
breast cancer,10
bail,10
abc reviews,10
australian labor party,10
early intervention,10
cultural heritage,10
refugees,10
ministerial conduct,10
regional policy,10
landline telephones,10
information and communications technologies,10
shale gas,10
teachers,10
drones,10
resilience,10
china,10
vulnerable children,10
disability policy,10
not-for-profit sector,10
private hospitals,10
renewable energy target,10
academic performance,10
end of life decision making,10
emergency services,10
criminal offences,10
court procedures,10
state government departments,10
modelling,10
youth detention centres,10
housing and homelessness,10
solar pv,10
gender pay gap,10
government regulation,10
industry 4.0,10
waste management,10
rent assistance,10
belt and road initiative (bri),10
federal government departments,10
crc lcl,10
low-income consumers,10
radicalism,10
substance abuse,10
festivals,10
tax rebates,10
nursing home care,10
human capital,10
minimum wage,10
food--labeling,10
crops--genetic engineering,10
subsidies,10
slavery,10
iraq war (2003-2011),10
medicare,10
patents,10
computers and children,10
place (philosophy),10
schools--safety measures,10
classification,10
television and children,10
peer review,10
readiness for school,10
technology--economic aspects,10
classrooms,10
capitalism,10
universities and colleges--ratings and rankings,10
arms control,10
scientists,10
technological forecasting,10
homeless women,10
hospitality industry,10
disasters,10
landscape design,10
religious education,10
undergraduates,10
race relations,10
discrimination--religious aspects,10
extremists,10
asset allocation,10
mobility,9
mobile telephone systems,9
risk assessment,9
creative & digital,9
teenage youth,9
social exclusion,9
election campaign funding,9
disability,9
direct action plan,9
motor vehicles,9
parliamentary entitlements,9
australian federal elections,9
refugee policy,9
ministerial portfolios,9
urban renewal,9
census data,9
workplace bullying,9
intergenerational report,9
centrelink,9
policy,9
non-government organisations (ngos),9
design thinking,9
international students,9
acma,9
electronic gambling machines,9
scams,9
government performance,9
bowel cancer,9
non-government schools,9
couch surfing,9
public sector leadership,9
carers,9
land rights,9
injury,9
oral health,9
women's health,9
reform of the federation,9
data mining,9
digital age,9
media consumption,9
program evaluation,9
wi-fi,9
red tape,9
walking,9
digital news,9
sugar tax,9
pine gap,9
business investment,9
transport policy,9
research infrastructure,9
suicide prevention,9
aged care sector,9
sugar,9
social impact assessment,9
illicit drug manufacture,9
housing supply,9
transitions,9
metropolitan plans,9
adani coal mine,9
gig economy,9
prisoner health,9
autonomous technologies,9
lesbians,9
bioethics,9
grandparents,9
popular culture,9
health care rationing,9
health literacy,9
digital audio broadcasting,9
electronic commerce,9
burglary,9
homeless children,9
web search engines,9
web archiving,9
remote health,9
fetal alcohol syndrome,9
peace,9
church and state,9
stigmatization,9
torture,9
boardinghouses,9
geopolitics,9
theology,9
archaeology,9
energy storage,9
families and households,8
demographics,8
public opinion,8
population,8
water governance,8
health and wellbeing,8
telecommunications,8
immigration,8
community health,8
water security,8
school fees,8
early childhood education,8
data access,8
electoral boundary redistributions,8
schools,8
muslim australians,8
public health policy,8
political influence,8
traffic congestion,8
civic engagement,8
work life balance,8
whistle blowing,8
mental health,8
assessment,8
digital collections,8
social issues,8
electricity,8
heritage buildings,8
indigenous policy,8
child poverty,8
principals,8
psychology,8
grey literature strategies project,8
global health,8
school leaders,8
catholic schools,8
rural australians,8
access to health,8
digital disruption,8
research assessment,8
engagement,8
disadvantaged students,8
university students,8
altmetrics,8
health law,8
criminal justice system,8
end of life care,8
community attitudes,8
military,8
consumer choice,8
fire brigades,8
hazardous substances,8
disability inclusive education,8
offshore processing,8
property development,8
systemic risk,8
post-traumatic stress disorder (ptsd),8
data availability,8
residential building,8
real estate agents,8
turnbull government,8
emission reduction,8
active transport,8
behaviour change,8
electricity grid,8
continuous quality improvement,8
driverless vehicles,8
creative ability in business,8
maternity leave,8
women--sexual behavior,8
art_aboriginal australian,8
hearing,8
chronic pain,8
public interest,8
anthropology,8
location-based services,8
homeless families,8
men--health,8
kinship care,8
anzac day,8
fires,8
social conflict,8
autistic children,8
shelters for the homeless,8
plant diseases,8
ethnic relations,8
life insurance,8
early childhood intervention,7
ab collection,7
457 visa,7
online electronic media,7
indigenous social policy,7
performance reporting,7
social services,7
jobs,7
coal power,7
violence,7
technology,7
retirement savings,7
work-life balance,7
by-elections,7
migration,7
age pension,7
academic freedom,7
children,7
primary industries,7
international issues,7
smart technology,7
social disadvantage,7
wealth disparities,7
malcolm turnbull,7
surveys,7
international development,7
horticulture,7
e-commerce,7
translational research,7
population strategies,7
community sector,7
defamation law,7
corrections system,7
commemoration,7
digital content,7
culture & society,7
community development,7
sustainability,7
voting,7
identity theft,7
return on investment,7
transport planning,7
telehealth,7
crime policy,7
asic,7
national broadband network,7
tio,7
journey to social inclusion,7
age,7
ice,7
child safety,7
health informatics,7
digital engagement,7
residential care,7
demand management,7
demand,7
teacher training,7
perceptions of crime in migrant communities,7
research engagement,7
economic reform,7
work experience,7
journals,7
budget analysis,7
ports,7
social wellbeing,7
socio-economic disadvantage,7
policy analysis,7
housing density,7
diversity,7
policy advice,7
vocational education and training,7
outcomes measurement,7
accounting education,7
surveillance,7
parenting programs,7
student engagement,7
low carbon built environment,7
gun buyback schemes,7
engineering,7
income disparity,7
workplace reform,7
alcohol consumption,7
indigenous education,7
pokie machines,7
agent-based modelling,7
low energy housing,7
green roof,7
emerging issues conference 2013-6,7
strategic plans,7
smart grid,7
water,7
english language education,7
human resource management,7
property investment,7
data analytics,7
research ethics,7
waste management planning,7
housing,7
commodification,7
shopping,7
piracy,7
representative government and representation,7
price regulation,7
technology and older people,7
subscription television,7
community policing,7
audiences,7
capital punishment,7
islam--customs and practices,7
islam and secularism,7
home care services,7
national parks and reserves,7
partnership,7
photography,7
literature,7
television advertising,7
intercultural communication,7
islamic law,7
institutional care,7
feminism,7
assistive computer technology,7
place-based education,7
drowning,7
anti-racism,7
chemicals,7
digital electronics,7
cyclones,7
inflation (finance),7
taxicabs,7
submarines (ships),7
discipline of children,7
sexism,7
maori language,7
payment,7
ambulance service,7
self-determination_national,7
impact investing,7
tongans,7
foreign exchange rates,7
mapping techniques,6
universal basic income,6
public infrastructure,6
social sustainability,6
federalism,6
telstra,6
pisa,6
cannabis,6
abs,6
health workforce,6
drug treatment,6
catholic church,6
electoral divisions,6
gambling policy,6
lobbying regulation,6
screening,6
constitutional reform,6
future,6
health costs,6
biosecurity,6
gambling harm minimisation,6
family court,6
electoral systems,6
child care,6
aboriginal health,6
voting systems,6
art economy,6
corporate responsibility,6
defence administration,6
civics education,6
marginal renting,6
training and learning,6
generation y,6
heart disease,6
political economy,6
community broadcasting,6
local content,6
web 2.0,6
gov 2.0,6
vision impaired people,6
coal,6
conservative politics,6
twitter,6
cultural awareness,6
drugs and alcohol,6
