Term ID,Term,No. of items
55991,ecosystem risk assessment,1
56046,Education Tax Refund,1
56216,Embedded media,1
56306,encryption,1
56381,Enforcement of directors' duties,1
56521,Expert opinion,1
56531,Explosives,1
56536,Externalities,1
56596,Family First,1
56626,FAST education program,1
56641,Federal Budget 2015-16,1
56681,Federation,1
56696,Feral cats,1
56701,Ferries,1
56716,Fever,1
56736,financial audit,1
56761,Financial intelligence,1
56766,financial loss,1
56826,Firm hiring behaviour,1
56836,First Aid,1
56906,Food imports,1
56911,food stamps,1
56956,Forensic interviewing,1
57011,Free votes,1
57016,Free-range eggs,1
57026,Fresh produce sector,1
57041,Fukushima,1
57046,Fund capacity,1
57056,Fundamentalism,1
57101,Future Fund,1
57171,Gender neutral,1
57181,Generation X,1
57206,genetic testing,1
57216,Geo-engineering,1
57231,Geology,1
57246,German Empire,1
57256,Gillard,1
57266,global commodity markets,1
57286,Global equity fund performance,1
57321,global public goods,1
57356,Gobal financial stability,1
57451,government research,1
57491,Green bans,1
57506,Green movement,1
57576,Hand washing,1
57601,Hazara,1
57711,Health professions,1
57771,Heart transplants,1
57901,home insulation,1
57936,homework,1
57941,Horn of Africa,1
58066,Managed services,1
58231,Indigenous jobs,1
58256,Individual investors,1
58301,information asymmetry,1
58306,Information dissemination,1
58331,Information Society,1
58336,information-seeking activities,1
58376,Insect migration,1
58396,Insulation,1
58401,Insulin-treated diabetes,1
58416,Integrated economy,1
58446,interception powers,1
58491,international financial centres,1
58506,international public goods,1
58586,Introduction of solids,1
58596,investigative journalism,1
58641,ISPs,1
58651,IVF,1
58686,Jon Stanhope,1
58706,Jury,1
58736,Kate Carnell,1
58771,Koalas,1
58851,law school,1
58936,Licenced premises,1
59056,longevity risk,1
59171,Maritime,1
59186,Marriage Act 1961,1
59236,Media arts,1
59271,media piracy,1
59276,media reforms,1
59286,media scholarship,1
59296,mediatization,1
59331,medical negligence,1
59351,melanoma,1
59371,men with HIV,1
59421,microfinance,1
59461,Mimesis,1
59471,ministerial notifications,1
59486,misinformation,1
59521,mobile money,1
59556,Mood disorders,1
59566,Moral engagement,1
59621,Multitasking,1
59651,music therapy,1
59691,National accounts,1
59811,Neo-colonialism,1
59826,Neopaternalism,1
59856,newborn screening,1
59871,news,1
59881,Niche media,1
59886,nightclubs,1
59901,non-formal education,1
59926,Northern development,1
60016,NSW government,1
60021,Nuclear crisis,1
60041,NYSE,1
60051,Oath of allegiance,1
60086,older drivers,1
60116,Online brief interventions,1
60206,Opioid Maintenance Therapy,1
60241,Organic Electronics,1
60246,Organisational capital,1
60261,orientalism,1
60266,orthopaedics,1
60271,Orthotists,1
60281,otitis media,1
60296,Over employment,1
60301,Over-grazing,1
60306,over-the-counter medication,1
60311,overseas adoption,1
60321,overseas labour,1
60351,pacifism,1
60356,Paediatricians,1
60361,Paid Holiday Leave,1
60376,Paleo diet,1
60391,panel data,1
60396,parachute journalism,1
60401,Parameter uncertainty,1
60406,Parent engagement,1
60521,Pathology tests,1
60546,Peak demand,1
60671,Phone numbers,1
60696,physical punishment,1
60701,Physical sciences,1
60756,pneumococcal vaccine,1
60766,podcasting,1
60831,policy transfer,1
60861,Political defection,1
60891,Political office,1
60951,portfolio optimization,1
61046,Pricing systems,1
61136,probiotics,1
61151,productivity loss,1
61156,Professional care,1
61186,Profilic offenders,1
61196,Prohibition,1
61226,psychiatry,1
61246,public budgeting,1
61261,Public enquiries,1
61331,Public sphere,1
61336,public system,1
61361,Pygmalion Effect,1
61391,racialism,1
61406,Rape culture,1
61426,Rawlsian theory,1
61481,Recurrent abdominal pain,1
61566,Regional capitals,1
61591,regressive tax,1
61601,regulatory data architecture,1
61606,regulatory governance,1
61626,Relgious attire,1
61731,research outlines,1
61736,research utilisation,1
61751,Resettlement,1
61786,Restaurants,1
61791,retirement drivers,1
61821,Rhetoric,1
61841,Risk stratification tools,1
61861,road rage,1
62211,Safe at home programs,1
62281,school autonomy,1
62311,School websites,1
62336,scope of practice,1
62351,secondments,1
62361,Security Council,1
62366,seed banks,1
62376,Selective schools,1
62401,self-defence,1
62426,seniors,1
62451,Service industry,1
62526,Silicon Valley,1
62531,Silver economy,1
62541,Size of government,1
62586,Small cap firms,1
62591,Small screen media,1
62641,SOAC 1,1
62741,social licence,1
62751,Social Perception,1
62811,Soft compulsion,1
62826,Solar monitoring systems,1
62871,Speech and language disorders,1
62906,Sprinklers,1
62911,Staff development,1
62926,Standing orders,1
62951,state ownership,1
62961,Steroids,1
63006,Street lighting,1
63016,striving,1
63076,student media,1
63086,Student visas,1
63111,Submission,1
63151,Superannuation Legislation Amendment,1
63241,swine flu,1
63291,Tax benefits,1
63321,Tax-and-transfer system,1
63346,Teacher librarians,1
63436,temperament,1
63481,Therapeutic Jurisprudence,1
63496,Third-sector,1
63531,Tony Blair,1
63566,Trademarks,1
63611,Trans-Tasman travel arrangements,1
63621,Transfusions,1
63701,Treatment orders,1
63711,Tribal peoples health,1
63716,Tropical diseases,1
63731,Turkish Australians,1
63831,University presses,1
63901,variable annuities,1
63981,vision screening,1
63986,visual development,1
63991,Vitamin K,1
64006,VoIP,1
64161,wholesale funding,1
64406,youth violence,1
64411,Zero net taxpayers,1
64416,Zero-day vulnerabilities,1
64421,Zoos,1
64426,classroom technology practices,1
64436,2G,1
64466,Digital equity,1
64511,comprehensive care,1
64546,amateur photographs,1
64571,Production function,1
64581,Trade Facilitation,1
64596,Alcohol spectrum disorders,1
64606,eyewitness photographs,1
64611,ice epidemic,1
64646,deeming,1
64671,Advanced Persistent Threats,1
64716,Assessors,1
64736,human cloning,1
64751,Landbridge,1
64801,underlying principles,1
64811,Spend management,1
64816,healthspan,1
64821,quarantine,1
64826,tax regulation,1
64881,Indigenous innovation,1
64891,hemp,1
64896,institutional asset owners,1
64901,securitization,1
64916,baseline risk,1
64921,acute coronary syndrome,1
64956,Welfare Organisations,1
64961,birth to eight years,1
65026,Asian Century,1
65056,nationality,1
65081,Hidden collections,1
65086,housing associations,1
65116,community media,1
65146,retail banking,1
65161,coding,1
65186,Hazards,1
65191,corporate citizen,1
65211,Systemic Functional Linguistics,1
65236,motor telephony,1
65306,sovereign credit ratings,1
65311,Rupert Murdoch,1
65316,Party unity,1
65321,music digitalisation,1
65356,Loss given default,1
65376,spam,1
65381,teaching standards,1
65391,telematics,1
65416,Student beliefs,1
65421,text mining,1
65436,Infographics,1
65446,Overflow,1
65451,Mamdouh Habib,1
65456,Time zones,1
65461,Regression discontinuity,1
65466,Fuel switching,1
65471,Balanced funds,1
65501,fuzzy statistics,1
65521,blood diamonds,1
65631,Probationary drivers,1
65661,hearing screening,1
65681,tax salience,1
65686,fiscal capacity,1
65711,Student Financial Aid,1
65716,political slogans,1
65741,Academic Spring movement,1
65746,Authentic contexts,1
65776,indoor overheating,1
65811,gift taxes,1
65856,Water cooling,1
65891,Collateralised Debt Obligations,1
65916,Employment legislation,1
65941,Country of origin labeling,1
65956,state investment capital,1
65986,redlining,1
65991,convexity,1
66016,gender budgets,1
66046,Surgical care,1
66051,knowledge societies,1
66131,e-advocacy,1
66151,physician assistant,1
66156,Medical training,1
66176,air cleaners,1
66186,behavior pattern,1
66191,Bioaerosol,1
66246,House expansion,1
66276,Long-term thermal performance,1
66306,narrow living spaces,1
66381,Ultraviolet,1
66416,market quality,1
66431,Home Care workforce,1
66476,Human Papillomavirus,1
66516,fair decision making,1
66521,skin conditions,1
66526,India Australia Relations,1
66551,Indigenous Education Correction Youth,1
66576,buy Australian,1
66581,Age distribution,1
66601,Information Diffusion (Communication),1
66616,ideas boom,1
66626,redesign,1
66631,moths,1
66651,tsunami warning system,1
66661,Hillary Clinton,1
66666,cross-border externality,1
66686,Introduced species,1
66751,Clinical legal education,1
66766,asset confiscation,1
66776,school climate,1
66791,permanent income hypothesis,1
66841,Principal–agent problem,1
66861,Integrated demand forecasting,1
66866,Commonwealth Games,1
66876,Bill Shorten,1
66881,portfolio holdings disclosure,1
66886,Cornelia Rau,1
66921,Tanks,1
66946,cannabis clubs,1
66956,Social Groups,1
66966,Heroin,1
66971,nitrous oxide,1
66976,Cyberbodies,1
66986,news echo chamber,1
66991,Master of Library Science,1
67006,homebirth,1
67026,zika,1
67031,defective products,1
67046,pulmonary disease,1
67051,community music,1
67081,Red-tape reduction,1
67101,ADSL,1
67121,National Emergency Access Targets,1
67231,corporate bookmakers,1
67256,International Standard Name Identifier,1
67261,Conducting polymers,1
67271,flat feet,1
67276,Prosthesis,1
67281,ear infection,1
67306,short termism,1
67321,hospice,1
67326,pastoral care,1
67331,earnings dynamics,1
67336,Economic capital,1
67366,War service,1
67396,Peer operated service,1
67406,family life,1
67416,audit fees,1
67431,community harm,1
67456,asymmetric information,1
67476,Berry Diseases,1
67481,Flowers and Ornamentals,1
67491,Pome fruit diseases,1
67496,Vegetables,1
67506,vegetarian diets,1
67526,policy churn,1
67541,Party jumping,1
67591,postnatal,1
67601,Teacher effectiveness,1
67621,Corporate health providers,1
67661,macroprudential supervision,1
67671,psychopathology,1
67696,Political skills,1
67701,Teacher expectations,1
67711,Valuation,1
67736,Unlisted property fund,1
67741,Taliban,1
67751,early retirement schemes,1
67776,transformative learning,1
67836,professional experience,1
67876,international banks,1
67961,summer heatwave,1
68016,Transformative agency,1
68031,Medical abortion,1
68036,Mifepristone,1
68041,minority media,1
68056,Economic equilibrium,1
68091,Operation Bastille,1
68101,self-belief,1
68146,listing rules,1
68251,social knowledge economy,1
68256,bootstrapping,1
68296,Forward liability investment approach,1
68331,sex on premises venues,1
68336,Kaurna,1
68346,temper tantrums,1
68366,fire hazards,1
68386,skill-matching,1
68406,Teacher evaluation of student performance,1
68436,factor models,1
68456,field experiment,1
68476,tax rates,1
68481,Benefit theory,1
68501,premature babies,1
68581,microblog,1
68601,guarantees,1
68606,fire dynamics,1
68611,Repatriation Transport Scheme,1
68636,common eye problems,1
68646,listening,1
68726,complex systems,1
68756,family health nurse,1
68761,Enterprise,1
68821,inherent requirement statements,1
68836,picture quality,1
68841,portfolio holdings,1
68871,news tips,1
68886,joint facilities,1
68911,economic integration,1
68921,Achievement tests,1
68941,business to business,1
68956,geroscience,1
68976,digital images,1
68981,spin doctor,1
69006,systematic risk,1
69011,model risk,1
69016,stress testing,1
69026,oligopoly,1
69071,middle years,1
69101,community-wide solutions,1
69111,synopticon,1
69141,tracking devices,1
69156,Judicial appointments,1
69161,shoplifting,1
69166,Basel 2,1
69176,Liquidity constraints,1
69191,connected vehicle,1
69201,Computer-efficacy,1
69211,Error-in-variables,1
69226,Self-interest,1
69236,Expressive therapies,1
69286,Socio-economic Monitor,1
69296,State and Federal Aid,1
69431,Assertive community treatment,1
69441,long-term factor exposures,1
69461,gifted with learning disabilities,1
69521,Dental law,1
69531,Clinical placements,1
69546,Infiltration characteristic,1
69556,Indoor Health,1
69591,Fungal index,1
69606,Vital statistics,1
69611,sensor network,1
69621,Bedroom Temperature,1
69631,infection,1
69646,homes,1
69661,natural ventilation,1
69726,mum and dad investors,1
69746,spatial mismatch,1
69781,foreign settlers,1
69801,Short-term reversals,1
69871,prevention,1
69886,interbank market,1
69906,Significant Refurbishment Supplement,1
69916,Nature via Nurture,1
69926,copycat funds,1
69936,District health,1
69941,public relations,1
69951,rural media,1
69956,critics,1
69986,chemotherapy,1
70001,right-wing extremism,1
70021,DisabilityCare Australia Levy,1
70031,NASDAQ,1
70071,knock knees,1
70106,Irregular maritime migration,1
70111,cost of intervention,1
70121,Desmond Ball,1
70141,policy capability,1
70216,public service motivation,1
70221,post-secondary education,1
70236,Comparable Sales,1
70251,African students,1
70266,empty voting,1
70291,Hospitality,1
70341,Excess heat factor,1
70416,discrete choice,1
70436,voting rights,1
70456,Creative capital,1
70461,healthy settings,1
70466,bricolage,1
70521,Moderation (Assessment),1
70526,university dropout,1
70546,reporting,1
70566,Infertility,1
70571,mixed frequency models,1
70606,fibre-to-the-door,1
70611,Fibre-to-the-node,1
70621,antihistamines,1
70631,childhood needs,1
70651,protected investments,1
70691,bailout,1
70711,native title anthropology,1
70726,reasonable adjustments,1
70731,virtual university,1
70736,trading,1
70751,pension tribunal,1
70766,alternative minimum tax,1
70791,tracking error,1
70796,Australian monarch,1
70801,School chaplaincy,1
70811,induction,1
70821,avoidance,1
70826,tax characterisation,1
70831,Dynamic factor model,1
70836,Comprehensive income tax,1
70841,stressed expectation,1
70846,Cournot Nash,1
70851,domestic servitude,1
70866,black coal,1
70876,Carbon Pollution,1
70881,Business cycle,1
70896,Digital custodianship,1
70901,Locative media,1
70906,Quality media,1
70921,Computational journalism,1
70936,rating-contingent financial regulation,1
70956,glide paths,1
70986,John Kerr,1
71021,Program logic,1
71086,monuments,1
71101,Negligence,1
71146,Body temperature,1
71171,Fungal detector,1
71176,occupant health,1
71186,Healthy Life Expectancy,1
71191,Indoor outdoor relationship,1
71211,humidity,1
71216,Coupled hygrothermal modelling,1
71236,thermal air conditions,1
71241,Pollutant,1
71251,Differential sensitivity analysis,1
71266,indoor CO2 concentration,1
71276,multi-agent simulation,1
71296,cool coating,1
71321,central city economic productivity,1
71341,nation wealth,1
71346,Thinking skills,1
71406,program development,1
71411,tissue disorder,1
71436,organisation identifiers,1
71441,bow leg,1
71446,Mortgage-backed security,1
71451,vigilante justice,1
71461,government inaction,1
71466,professional affiliations,1
71496,Anglo-Celtic cultural privilege,1
71511,bundled care,1
71516,Universal Declaration of Human Rights,1
71521,politics of data,1
71626,international liquidity,1
71631,living conditions,1
71651,Ottawa Charter,1
71656,partner state,1
71661,contract ready,1
71711,household labour supply,1
71766,minimum entry requirements,1
71776,Succession law,1
71796,traditional owners,1
71826,credit portfolio risk,1
71841,school induction,1
71851,mixed frequency,1
71866,stress diversification,1
71871,tax efficiency,1
71901,property management,1
71941,predatory trading,1
71966,Family interventions,1
71986,practice theory,1
72001,Dynamic general equilibrium,1
72026,thermal sense,1
72051,EnergyPlus,1
72056,Mold contamination,1
72061,Japanese Municipalities,1
72071,Particulate matter sensing,1
72081,Senior Living,1
72086,multiple dwelling code,1
72106,Facade refurbishment,1
72126,CO2 equivalence,1
72171,medial tibial torsion,1
72186,Teresa Gambaro,1
72241,interdisciplinary research,1
72251,net returns,1
72256,Hurdle model,1
72271,sequencing risk,1
72281,Modelling sustainability,1
72286,income contingent loans,1
72296,over-lapping generations,1
72311,Indirect Taxation,1
72316,Buildingomics,1
72336,Intensive care,1
72341,Oral and Maxillofacial Surgery,1
72361,Wideband Integrated Bioaerosol Sensor,1
72376,Field measurement,1
72381,heat flux,1
72411,temperature sensors,1
72421,Equivalent thermal resistance,1
72441,subtropical,1
72471,Grey correlation analysis,1
72496,indoor activities,1
72501,radiation properties,1
72506,Geodesign,1
72531,internet diffusion,1
72541,local rates,1
72571,intoeing,1
72611,regulatory analytics,1
72621,teacher beliefs,1
72641,heatwave perception,1
72646,consumption-based accounting,1
72676,gamification,1
72691,places to intervene,1
72756,assignment photography,1
72761,visual quotes,1
72766,cash-flow tax,1
72781,Severe cold area,1
72806,Doctors attitudes to law,1
72811,Teacher competencies,1
72846,school infrastructure,1
72861,land prices,1
73271,heavy vehicle charges,1
73456,Electromagnetic radiation,1
73881,Peter Dutton,1
74171,Genetics,1
74496,Law graduates,1
75151,Contestability,1
75186,RSPCA,1
75696,Aquaponics,1
76036,New Zealand-born Tongans,1
76126,Standardised reading tests,1
76176,Te Whāriki,1
76451,Psychotherapy,1
76641,News values,1
76651,Pacific media,1
76656,Tongan graduates,1
76676,Tongan education,1
76831,Samoan families in New Zealand,1
76866,Psychotherapy training,1
76921,Cybernetics,1
76991,Samoan myths and legends,1
77176,Samoan teachers,1
77196,Samoan language,1
77306,Arboriculture,1
77336,Solomon Islanders,1
77386,Sector-Wide Approach,1
77941,Maori (New Zealand people) Origin,1
77976,Quakers,1
78091,Epidemiology,1
79051,Polygyny,1
79086,currency union,1
79271,New Zealand-Samoa relationship,1
79291,Tokelauan,1
79611,Inflammatory arthritis,1
79836,Birth defects,1
80691,Anglican Church,1
80726,Pacific Island sportsmen,1
80946,World War One,1
81186,Home detention,1
81926,Pacific stereotypes,1
82181,Regional Land Partnerships,1
82206,Urban disorder,1
82281,Central nervous system,1
82511,Pauline Hanson,1
82611,Content Management System,1
82691,Eating disorders,1
82721,Sporting injuries,1
82781,Infant feeding,1
82876,Commission-based fundraising,1
83416,Radiocommuications licenses,1
83476,microtransit,1
83521,Climate sensitivity,1
83641,Sudanese Australians,1
83646,New media arts,1
83671,Teacher retention,1
83676,Teacher attrition,1
83741,Algae building technology,1
83806,imputed rental income,1
83836,futurology,1
83856,air tightness,1
83971,Cryptocurrencies,1
84001,family planning,1
84006,contraception,1
84056,Credit ratings,1
84091,unpaid fines,1
84191,Self-care,1
84226,school libraries,1
84251,mid-tier buildings,1
84431,refugee housing,1
84441,refugee community organisations,1
84691,tinnitus,1
84751,geneology,1
84811,Self-publishing,1
84871,ethnography,1
84906,Life tables,1
84986,student allowances,1
85001,spatial technologies,1
85006,tax penalties,1
85031,trade tariffs,1
85076,Serious assault,1
85081,Heterosexism,1
85086,Cissexism,1
85101,fault detection diagnostics,1
85121,TCFD,1
85171,Service systems,1
85186,plea bargaining,1
85246,Bridges,1
88341,Values of customer reliability,1
88406,transport workers,1
88426,Economic depressions,1
88456,housing supply bonds,1
88461,blended capital,1
88516,polycentric city,1
88681,complaints handling,1
88741,adjusted net savings,1
88781,Journal Classification,1
88796,strata properties,1
88841,Teacher supply,1
88886,Data literacy,1
88911,Ergonomics,1
88926,Socially Assistive Robots,1
88966,urban biota reserves,1
89001,Work environment--Barrier-free design,1
89056,performance improvement,1
89086,multi-owned property,1
89116,Obsolete buildings,1
89121,Attraction and retention,1
89151,critical pragmatism,1
89166,social representations theory,1
89171,pragmatic textual analysis,1
89176,complex problems,1
89181,Room sharing,1
89206,choice based letting models,1
89221,human-wildlife relationships,1
89226,syntactic measures,1
89251,Design excellence,1
89271,discourse analysis,1
89276,collective self-development,1
89291,green gentrification,1
89296,Assemblage (Philosophy),1
89301,Dwelling size,1
89366,Resident Opposition,1
89371,Masterplanned Estates,1
89381,dormancy,1
89401,spatial behaviour,1
89406,traditional templates,1
89446,service hubs,1
89496,Road pricing,1
89546,SWOT,1
89566,Security,1
89596,deep ecology,1
89601,discourses,1
89621,Informal public space,1
89626,discrete choice modelling,1
89646,professional practice,1
89661,spatial interaction,1
89741,Product development,1
89821,PIRLS,1
89826,TIMSS,1
89921,clientelism,1
89991,Sustainability of university campuses,1
90006,Planetary Health education,1
90051,Wool industry,1
90061,International commercial arbitration,1
90236,school councils,1
90326,Secular society,1
90546,space heating,1
90551,technology performance,1
90616,Freedom camping,1
90686,Crisis response,1
90696,OPCAT,1
90701,Home schooling,1
90731,National coordination,1
90766,Eco-Model City,1
90791,Automated political communication,1
90831,social interaction,1
90841,healthy food,1
90916,Living Building Challenge,1
90921,Military coups,1
91046,Trade policy,1
91061,Strangulation,1
91066,Synthetic biology,1
91096,Frugal innovation,1
91106,Start-ups,1
91221,male genital mutilation,1
91276,Digital dictatorships,1
91306,Teacher registration,1
91316,Motorised wheelchairs,1
91321,mobile health,1
91431,Poverty-informed approach,1
91501,Parliamentary remuneration,1
91566,Consent,1
91581,Solastalgia,1
91606,Equator Principles,1
91666,Contract cheating,1
91686,women in music,1
91746,sociology,1
91751,co-working,1
91771,Traffic cameras,1
91776,Speed cameras,1
91801,counter-culture,1
91846,ecosan,1
91866,Grime (music),1
91986,post-digital,1
92006,activation,1
92021,cultural goods and services,1
92026,co-operatives,1
92076,practicums,1
92096,brokering initiatives,1
92116,service learning,1
92226,descriptive representation,1
92236,substantive representation,1
92246,rural governance,1
92261,Development contributions,1
92286,intergovernmental budgeting,1
92351,Temporary Sponsored Parent visa,1
92371,knowledge city,1
92376,Intercultural Practice,1
92381,Student Resource,1
92386,Student Exchange,1
92421,content consumption,1
92451,Instagram,1
92511,profitability,1
92541,profit shifting,1
92556,Organisational Communication,1
92576,Australian Polonia,1
92586,Polish migrants,1
92726,Deliveroo,1
92746,zero hours contracts,1
92791,Plurilingualism,1
92821,Short term listing,1
92881,software monitoring,1
92886,New Zealand Wars,1
92911,Mature age students,1
92966,harmful speech,1
92996,Equality-by-Design (EbD),1
93031,VET Student Loans (VSL),1
93096,secondary income,1
93141,Royal Commission of Inquiry into Historical Abuse in State Care and in the Care of Faith-based Institutions,1
93266,septic system,1
93326,temporal work,1
93331,routine instability,1
93361,rostering software,1
93401,online outsourcing,1
93446,computerisation,1
93541,Electrocution,1
93556,nowcasting,1
93601,turing test,1
93606,planning protection,1
93686,index number bias,1
93696,social intelligence,1
93831,infomatics,1
93886,wage stagnation,1
94051,intervention development,1
94271,peak car,1
94476,Security studies,1
94781,coordination of care,1
94886,Commonwealth Integrity Commission (CIC),1
95821,Australian federal election 2013,1
95916,Business skills,1
95926,Fixed broadband,1
95996,Data activism,1
96326,Dissent,1
96381,Software as a Medical Device,1
96411,Whaling,1
96596,Overworking,1
96621,Railway stations,1
96706,Concessional loans,1
96841,Promoting research outcomes,1
96851,Charettes,1
96866,Intuitive eating,1
96876,Postpartum period,1
96931,Notifiable Data Breaches scheme,1
96936,Royal Commission of Inquiry into the Attack on Christchurch Mosques on 15 March 2019,1
97001,Synthetic media technologies,1
97141,Outcomes contracting,1
97156,Peri-urban development,1
97191,Boundary spanning,1
97336,General equilibrium analysis,1
97411,Place-based adaptation,1
97646,International organisations,1
97671,Multilateralism,1
97681,Spiritual care,1
98016,Cash and Voucher Assistance,1
98456,Quantitative easing,1
98506,Aboriginal customs,1
98541,Shared value,1
98646,Yorta Yorta,1
98651,Nyungar,1
98656,Yamatji,1
98741,Indo-Fijians,1
98871,Quantum technology,1
98876,Upper houses,1
99041,Workflow,1
99061,Indigenous elders,1
20269,Fascism,2
20702,Security systems,2
20755,Espionage,2
20859,Moral panics,2
21562,Extinction (Biology),2
22542,Skull abnormalities,2
22587,Skyscrapers,2
22617,Deaf children,2
22883,Performance art,2
22936,Hinduism,2
23428,SARS (Disease),2
33375,Power of attorney,2
51506,Media diversity,2
51611,peer-to-peer networks,2
51691,cosmopolitanism,2
51796,Therapeutic goods,2
51811,Ethical sourcing,2
51956,Driving offences,2
51986,Bipolar disorder,2
52196,Relationship status,2
52786,ACT Election,2
52791,Action research,2
52866,Federal police,2
53066,Wealth tax,2
53111,Anti-vax,2
53201,Armed robbery,2
53211,Army,2
53226,Arts degrees,2
53236,arts-in-health,2
53301,Asset-price bubbles,2
53341,Attorney-General,2
53351,Sound heritage,2
53416,Australian rules football,2
53606,Bilateral aid,2
53626,binge drinking,2
53661,Birth rate,2
53666,birth registration,2
53681,black markets,2
53736,Bond aggregation model,2
53761,Borderline Personality Disorder,2
53776,Brain development,2
53971,Capital income taxation,2
54086,Cataloguing,2
54261,Chroming,2
54416,Coalition governments,2
54631,Comparison study,2
54651,complementary investments,2
54726,Consultants,2
54771,content marketing,2
54786,Control orders,2
54821,correlation analysis,2
55106,Culture Wars,2
55171,Dance curriculum,2
55241,David Hicks,2
55371,Demand driven system,2
55426,Developmental screening,2
55581,digital practices,2
55671,Distribution,2
55696,domestic animals,2
55871,early discharge,2
55891,Early onset dementia,2
55896,Early voting,2
55936,Economic history,2
55956,economic research,2
56116,Election platform,2
56241,emergent literacy,2
56271,emmissions trading,2
56291,enabling education,2
56296,Enabling environments,2
56301,encopresis,2
56396,Engineering students,2
56446,Epilepsy,2
56471,Estate taxes,2
56511,Examinations,2
56516,Excise tax,2
56551,Eye injury,2
56586,Family day care,2
56616,FASD,2
56631,Feasibility study,2
56666,federal system,2
56691,feral camels,2
56711,Fertility rate,2
56721,fiction,2
56741,Financial CGE model,2
56771,Financial markets,2
56831,firm performance,2
56981,Foucault,2
57071,Funds management,2
57076,funeral insurance,2
57081,Funeral,2
57191,Generational parenting,2
57196,Generations,2
57211,GenNBN,2
57251,gifted education,2
57281,Global equities,2
57326,global studies,2
57341,Global wealth,2
57391,Gov 2.0,2
57551,Guantanamo Bay,2
57596,hashtags,2
57691,Health libraries,2
57756,hearing impaired people,2
57796,HECS,2
57806,Helplines,2
57881,highly accomplished teacher,2
57906,Home insurance,2
57911,Home internet,2
58116,impartial complaint resolution,2
58126,implementation models,2
58131,In-house investment management,2
58156,independent journalism,2
58236,Indigenous nations,2
58311,information education,2
58316,Information professionals,2
58321,Information retrieval,2
58411,Integrated care,2
58436,Intensive care units,2
58466,International Baccalaureate,2
58501,International Labour,2
58546,internet non-users,2
58576,intervention,2
58581,Intoxication,2
58616,Iraq,2
58621,Irritable infants,2
58746,Keynes,2
58751,Kinship,2
58761,Knowledge infrastructures,2
58781,labeling,2
58821,Land tenure,2
58836,Latin American migrants,2
58861,lead exposure,2
58881,Leaving care,2
58931,library publishing,2
58951,life satisfaction,2
58991,Livelihoods,2
59006,Living Longer Living Better,2
59096,loyalty program,2
59156,marginalised families,2
59206,mature-age worker,2
59221,measurement error,2
59301,Medibank Private,2
59381,Menopause,2
59401,Methadone,2
59506,Mitsubishi Motors,2
59536,models of care,2
59571,Morality,2
59641,musculoskeletal condition,2
59696,National Action Plan,2
59726,national education,2
59821,neoconservatism,2
